,seqid,source,genetic_type,start,stop,strand,ID,Name
21,NC_010602.1,RefSeq,gene,12608,13495,+,gene-LEPBI_RS00070,LEPBI_RS00070
22,NC_010602.1,Protein Homology,CDS,12608,13495,+,cds-WP_012387049.1,WP_012387049.1
23,NC_010602.1,RefSeq,gene,13474,14583,-,gene-LEPBI_RS00075,LEPBI_RS00075
24,NC_010602.1,Protein Homology,CDS,13474,14583,-,cds-WP_012387050.1,WP_012387050.1
25,NC_010602.1,RefSeq,gene,14653,14865,+,gene-LEPBI_RS00080,LEPBI_RS00080
26,NC_010602.1,Protein Homology,CDS,14653,14865,+,cds-WP_226992832.1,WP_226992832.1
27,NC_010602.1,RefSeq,gene,14849,15424,-,gene-LEPBI_RS00085,LEPBI_RS00085
28,NC_010602.1,Protein Homology,CDS,14849,15424,-,cds-WP_012387052.1,WP_012387052.1
29,NC_010602.1,RefSeq,gene,15449,15706,+,gene-LEPBI_RS00090,famous_gene_4
30,NC_010602.1,Protein Homology,CDS,15449,15706,+,cds-WP_012387053.1,WP_012387053.1
31,NC_010602.1,RefSeq,gene,15703,16440,+,gene-LEPBI_RS00095,unknown_gene_1
32,NC_010602.1,Protein Homology,CDS,15703,16440,+,cds-WP_012387054.1,WP_012387054.1
33,NC_010602.1,RefSeq,gene,16452,17084,+,gene-LEPBI_RS00100,LEPBI_RS00100
34,NC_010602.1,Protein Homology,CDS,16452,17084,+,cds-WP_012387055.1,WP_012387055.1
35,NC_010602.1,RefSeq,gene,17076,18080,-,gene-LEPBI_RS00105,LEPBI_RS00105
36,NC_010602.1,Protein Homology,CDS,17076,18080,-,cds-WP_012387056.1,WP_012387056.1
37,NC_010602.1,RefSeq,gene,18127,19839,+,gene-LEPBI_RS00110,LEPBI_RS00110
38,NC_010602.1,Protein Homology,CDS,18127,19839,+,cds-WP_012387057.1,WP_012387057.1
39,NC_010602.1,RefSeq,gene,19860,22052,-,gene-LEPBI_RS00115,LEPBI_RS00115
40,NC_010602.1,Protein Homology,CDS,19860,22052,-,cds-WP_012387058.1,WP_012387058.1
41,NC_010602.1,RefSeq,gene,22057,22740,-,gene-LEPBI_RS00120,tsaB
42,NC_010602.1,Protein Homology,CDS,22057,22740,-,cds-WP_012476050.1,WP_012476050.1
43,NC_010602.1,RefSeq,gene,22737,23195,-,gene-LEPBI_RS00125,tsaE
44,NC_010602.1,Protein Homology,CDS,22737,23195,-,cds-WP_012387060.1,WP_012387060.1
45,NC_010602.1,RefSeq,gene,23192,24046,-,gene-LEPBI_RS00130,LEPBI_RS00130
46,NC_010602.1,Protein Homology,CDS,23192,24046,-,cds-WP_012387061.1,WP_012387061.1
47,NC_010602.1,RefSeq,gene,24122,26104,+,gene-LEPBI_RS00135,LEPBI_RS00135
48,NC_010602.1,Protein Homology,CDS,24122,26104,+,cds-WP_012387062.1,WP_012387062.1
49,NC_010602.1,RefSeq,gene,26126,27019,+,gene-LEPBI_RS00140,LEPBI_RS00140
50,NC_010602.1,Protein Homology,CDS,26126,27019,+,cds-WP_012387063.1,WP_012387063.1
51,NC_010602.1,RefSeq,gene,27030,27872,+,gene-LEPBI_RS00145,LEPBI_RS00145
52,NC_010602.1,Protein Homology,CDS,27030,27872,+,cds-WP_012387064.1,WP_012387064.1
53,NC_010602.1,RefSeq,gene,27979,28551,+,gene-LEPBI_RS00150,LEPBI_RS00150
54,NC_010602.1,Protein Homology,CDS,27979,28551,+,cds-WP_012387065.1,WP_012387065.1
55,NC_010602.1,RefSeq,gene,28664,30073,+,gene-LEPBI_RS00155,LEPBI_RS00155
56,NC_010602.1,Protein Homology,CDS,28664,30073,+,cds-WP_041769540.1,WP_041769540.1
57,NC_010602.1,RefSeq,gene,30085,30690,+,gene-LEPBI_RS00160,LEPBI_RS00160
58,NC_010602.1,Protein Homology,CDS,30085,30690,+,cds-WP_012387067.1,WP_012387067.1
59,NC_010602.1,RefSeq,gene,30736,31959,-,gene-LEPBI_RS00165,LEPBI_RS00165
60,NC_010602.1,Protein Homology,CDS,30736,31959,-,cds-WP_012387068.1,WP_012387068.1
61,NC_010602.1,RefSeq,gene,31934,32446,-,gene-LEPBI_RS00170,LEPBI_RS00170
62,NC_010602.1,Protein Homology,CDS,31934,32446,-,cds-WP_012387069.1,WP_012387069.1
63,NC_010602.1,RefSeq,gene,32535,33269,+,gene-LEPBI_RS00175,LEPBI_RS00175
64,NC_010602.1,Protein Homology,CDS,32535,33269,+,cds-WP_012387070.1,WP_012387070.1
65,NC_010602.1,RefSeq,gene,33266,33982,-,gene-LEPBI_RS00180,cysE
66,NC_010602.1,Protein Homology,CDS,33266,33982,-,cds-WP_012387071.1,WP_012387071.1
67,NC_010602.1,RefSeq,gene,34262,35191,+,gene-LEPBI_RS00185,LEPBI_RS00185
68,NC_010602.1,Protein Homology,CDS,34262,35191,+,cds-WP_012387072.1,WP_012387072.1
69,NC_010602.1,RefSeq,gene,35188,36585,+,gene-LEPBI_RS00190,LEPBI_RS00190
70,NC_010602.1,Protein Homology,CDS,35188,36585,+,cds-WP_012387073.1,WP_012387073.1
71,NC_010602.1,RefSeq,gene,36686,37375,+,gene-LEPBI_RS00195,LEPBI_RS00195
72,NC_010602.1,Protein Homology,CDS,36686,37375,+,cds-WP_012387074.1,WP_012387074.1
73,NC_010602.1,RefSeq,gene,37383,38576,-,gene-LEPBI_RS00200,LEPBI_RS00200
74,NC_010602.1,Protein Homology,CDS,37383,38576,-,cds-WP_012476052.1,WP_012476052.1
75,NC_010602.1,RefSeq,gene,38733,40085,+,gene-LEPBI_RS00205,add
76,NC_010602.1,Protein Homology,CDS,38733,40085,+,cds-WP_012476053.1,WP_012476053.1
77,NC_010602.1,RefSeq,gene,40125,41177,+,gene-LEPBI_RS00210,LEPBI_RS00210
78,NC_010602.1,Protein Homology,CDS,40125,41177,+,cds-WP_012387077.1,WP_012387077.1
79,NC_010602.1,RefSeq,gene,41212,41730,-,gene-LEPBI_RS00215,LEPBI_RS00215
80,NC_010602.1,Protein Homology,CDS,41212,41730,-,cds-WP_012387078.1,WP_012387078.1
81,NC_010602.1,RefSeq,gene,41811,42209,-,gene-LEPBI_RS00220,LEPBI_RS00220
82,NC_010602.1,Protein Homology,CDS,41811,42209,-,cds-WP_012387079.1,WP_012387079.1
83,NC_010602.1,RefSeq,gene,42233,42673,-,gene-LEPBI_RS00225,arsN2
84,NC_010602.1,Protein Homology,CDS,42233,42673,-,cds-WP_041769542.1,WP_041769542.1
85,NC_010602.1,RefSeq,gene,42885,43727,+,gene-LEPBI_RS00230,ygiD
86,NC_010602.1,Protein Homology,CDS,42885,43727,+,cds-WP_012387081.1,WP_012387081.1
87,NC_010602.1,RefSeq,gene,43771,44421,+,gene-LEPBI_RS00235,LEPBI_RS00235
88,NC_010602.1,Protein Homology,CDS,43771,44421,+,cds-WP_012387082.1,WP_012387082.1
89,NC_010602.1,RefSeq,gene,44434,45171,-,gene-LEPBI_RS00240,LEPBI_RS00240
90,NC_010602.1,Protein Homology,CDS,44434,45171,-,cds-WP_012387083.1,WP_012387083.1
91,NC_010602.1,RefSeq,gene,45312,45485,+,gene-LEPBI_RS18780,LEPBI_RS18780
92,NC_010602.1,Protein Homology,CDS,45312,45485,+,cds-WP_226992951.1,WP_226992951.1
93,NC_010602.1,RefSeq,gene,45843,46835,-,gene-LEPBI_RS00245,LEPBI_RS00245
94,NC_010602.1,Protein Homology,CDS,45843,46835,-,cds-WP_012387085.1,WP_012387085.1
95,NC_010602.1,RefSeq,gene,47282,48586,-,gene-LEPBI_RS00250,purB
96,NC_010602.1,Protein Homology,CDS,47282,48586,-,cds-WP_012387087.1,WP_012387087.1
97,NC_010602.1,RefSeq,gene,48695,49462,+,gene-LEPBI_RS00255,LEPBI_RS00255
98,NC_010602.1,Protein Homology,CDS,48695,49462,+,cds-WP_002980273.1,WP_002980273.1
99,NC_010602.1,RefSeq,gene,49449,51413,-,gene-LEPBI_RS00260,LEPBI_RS00260
100,NC_010602.1,Protein Homology,CDS,49449,51413,-,cds-WP_012387088.1,WP_012387088.1
101,NC_010602.1,RefSeq,gene,51508,52290,-,gene-LEPBI_RS00265,LEPBI_RS00265
102,NC_010602.1,Protein Homology,CDS,51508,52290,-,cds-WP_012387089.1,WP_012387089.1
103,NC_010602.1,RefSeq,gene,52407,53378,-,gene-LEPBI_RS00270,LEPBI_RS00270
104,NC_010602.1,Protein Homology,CDS,52407,53378,-,cds-WP_012476055.1,WP_012476055.1
105,NC_010602.1,RefSeq,gene,53386,54735,-,gene-LEPBI_RS00275,LEPBI_RS00275
106,NC_010602.1,Protein Homology,CDS,53386,54735,-,cds-WP_012387091.1,WP_012387091.1
107,NC_010602.1,RefSeq,gene,54824,55069,+,gene-LEPBI_RS00280,LEPBI_RS00280
108,NC_010602.1,Protein Homology,CDS,54824,55069,+,cds-WP_012387092.1,WP_012387092.1
109,NC_010602.1,RefSeq,gene,55184,55927,-,gene-LEPBI_RS00285,LEPBI_RS00285
110,NC_010602.1,Protein Homology,CDS,55184,55927,-,cds-WP_012387093.1,WP_012387093.1
111,NC_010602.1,RefSeq,gene,56054,57217,+,gene-LEPBI_RS00290,LEPBI_RS00290
112,NC_010602.1,Protein Homology,CDS,56054,57217,+,cds-WP_187148075.1,WP_187148075.1
113,NC_010602.1,RefSeq,gene,57274,57843,+,gene-LEPBI_RS00295,LEPBI_RS00295
114,NC_010602.1,Protein Homology,CDS,57274,57843,+,cds-WP_012387095.1,WP_012387095.1
115,NC_010602.1,RefSeq,gene,57840,59735,+,gene-LEPBI_RS00300,LEPBI_RS00300
116,NC_010602.1,Protein Homology,CDS,57840,59735,+,cds-WP_012387096.1,WP_012387096.1
117,NC_010602.1,RefSeq,gene,59732,60133,+,gene-LEPBI_RS00305,LEPBI_RS00305
118,NC_010602.1,Protein Homology,CDS,59732,60133,+,cds-WP_012387097.1,WP_012387097.1
119,NC_010602.1,RefSeq,gene,60120,61994,-,gene-LEPBI_RS00310,LEPBI_RS00310
120,NC_010602.1,Protein Homology,CDS,60120,61994,-,cds-WP_012387098.1,WP_012387098.1
121,NC_010602.1,RefSeq,gene,62138,63694,+,gene-LEPBI_RS00315,hflX
122,NC_010602.1,Protein Homology,CDS,62138,63694,+,cds-WP_012387099.1,WP_012387099.1
123,NC_010602.1,RefSeq,gene,63681,64052,-,gene-LEPBI_RS00320,LEPBI_RS00320
124,NC_010602.1,Protein Homology,CDS,63681,64052,-,cds-WP_012387100.1,WP_012387100.1
125,NC_010602.1,RefSeq,gene,64057,65340,-,gene-LEPBI_RS00325,LEPBI_RS00325
126,NC_010602.1,Protein Homology,CDS,64057,65340,-,cds-WP_012387101.1,WP_012387101.1
127,NC_010602.1,RefSeq,gene,65485,66144,+,gene-LEPBI_RS00330,LEPBI_RS00330
128,NC_010602.1,Protein Homology,CDS,65485,66144,+,cds-WP_012476056.1,WP_012476056.1
129,NC_010602.1,RefSeq,gene,66148,66759,-,gene-LEPBI_RS00335,LEPBI_RS00335
130,NC_010602.1,Protein Homology,CDS,66148,66759,-,cds-WP_012387103.1,WP_012387103.1
131,NC_010602.1,RefSeq,gene,66854,68122,+,gene-LEPBI_RS00340,LEPBI_RS00340
132,NC_010602.1,Protein Homology,CDS,66854,68122,+,cds-WP_049755991.1,WP_049755991.1
133,NC_010602.1,RefSeq,gene,68131,68592,-,gene-LEPBI_RS00345,LEPBI_RS00345
134,NC_010602.1,Protein Homology,CDS,68131,68592,-,cds-WP_012387105.1,WP_012387105.1
135,NC_010602.1,RefSeq,gene,68630,70216,-,gene-LEPBI_RS00350,LEPBI_RS00350
136,NC_010602.1,Protein Homology,CDS,68630,70216,-,cds-WP_012387106.1,WP_012387106.1
137,NC_010602.1,RefSeq,gene,70219,71652,-,gene-LEPBI_RS00355,LEPBI_RS00355
138,NC_010602.1,Protein Homology,CDS,70219,71652,-,cds-WP_012387107.1,WP_012387107.1
139,NC_010602.1,RefSeq,gene,71745,72608,+,gene-LEPBI_RS00360,mtnP
140,NC_010602.1,Protein Homology,CDS,71745,72608,+,cds-WP_012387108.1,WP_012387108.1
141,NC_010602.1,RefSeq,gene,72605,72997,-,gene-LEPBI_RS00365,LEPBI_RS00365
142,NC_010602.1,Protein Homology,CDS,72605,72997,-,cds-WP_012387109.1,WP_012387109.1
143,NC_010602.1,RefSeq,gene,72994,74154,-,gene-LEPBI_RS00370,galK
144,NC_010602.1,Protein Homology,CDS,72994,74154,-,cds-WP_187148076.1,WP_187148076.1
145,NC_010602.1,RefSeq,gene,74208,75560,+,gene-LEPBI_RS00375,LEPBI_RS00375
146,NC_010602.1,Protein Homology,CDS,74208,75560,+,cds-WP_012387111.1,WP_012387111.1
147,NC_010602.1,RefSeq,gene,75537,76259,-,gene-LEPBI_RS00380,LEPBI_RS00380
148,NC_010602.1,Protein Homology,CDS,75537,76259,-,cds-WP_012387112.1,WP_012387112.1
149,NC_010602.1,RefSeq,gene,76256,77245,-,gene-LEPBI_RS00385,LEPBI_RS00385
150,NC_010602.1,Protein Homology,CDS,76256,77245,-,cds-WP_012387113.1,WP_012387113.1
151,NC_010602.1,RefSeq,gene,77254,78765,-,gene-LEPBI_RS00390,LEPBI_RS00390
152,NC_010602.1,Protein Homology,CDS,77254,78765,-,cds-WP_012387114.1,WP_012387114.1
153,NC_010602.1,RefSeq,gene,78758,80551,-,gene-LEPBI_RS00395,LEPBI_RS00395
154,NC_010602.1,Protein Homology,CDS,78758,80551,-,cds-WP_012387115.1,WP_012387115.1
155,NC_010602.1,RefSeq,gene,80622,81422,+,gene-LEPBI_RS00400,LEPBI_RS00400
156,NC_010602.1,Protein Homology,CDS,80622,81422,+,cds-WP_226992833.1,WP_226992833.1
157,NC_010602.1,RefSeq,gene,81423,81656,-,gene-LEPBI_RS00405,LEPBI_RS00405
158,NC_010602.1,Protein Homology,CDS,81423,81656,-,cds-WP_012387117.1,WP_012387117.1
159,NC_010602.1,RefSeq,gene,81706,82071,+,gene-LEPBI_RS00410,LEPBI_RS00410
160,NC_010602.1,Protein Homology,CDS,81706,82071,+,cds-WP_012387118.1,WP_012387118.1
161,NC_010602.1,RefSeq,gene,82068,82841,-,gene-LEPBI_RS00415,LEPBI_RS00415
162,NC_010602.1,Protein Homology,CDS,82068,82841,-,cds-WP_012387119.1,WP_012387119.1
163,NC_010602.1,RefSeq,gene,82822,83745,-,gene-LEPBI_RS00420,LEPBI_RS00420
164,NC_010602.1,Protein Homology,CDS,82822,83745,-,cds-WP_012387120.1,WP_012387120.1
165,NC_010602.1,RefSeq,gene,83799,84212,-,gene-LEPBI_RS00425,LEPBI_RS00425
166,NC_010602.1,Protein Homology,CDS,83799,84212,-,cds-WP_012387121.1,WP_012387121.1
167,NC_010602.1,RefSeq,gene,84255,86363,-,gene-LEPBI_RS00430,LEPBI_RS00430
168,NC_010602.1,Protein Homology,CDS,84255,86363,-,cds-WP_012387122.1,WP_012387122.1
169,NC_010602.1,RefSeq,gene,86381,86863,-,gene-LEPBI_RS00435,coaD
170,NC_010602.1,Protein Homology,CDS,86381,86863,-,cds-WP_012387123.1,WP_012387123.1
171,NC_010602.1,RefSeq,gene,86865,88073,-,gene-LEPBI_RS00440,LEPBI_RS00440
172,NC_010602.1,Protein Homology,CDS,86865,88073,-,cds-WP_012387124.1,WP_012387124.1
173,NC_010602.1,RefSeq,gene,88155,89303,+,gene-LEPBI_RS00445,LEPBI_RS00445
174,NC_010602.1,Protein Homology,CDS,88155,89303,+,cds-WP_012387125.1,WP_012387125.1
175,NC_010602.1,RefSeq,gene,89287,89814,+,gene-LEPBI_RS00450,LEPBI_RS00450
176,NC_010602.1,Protein Homology,CDS,89287,89814,+,cds-WP_012476059.1,WP_012476059.1
177,NC_010602.1,RefSeq,gene,89816,91372,+,gene-LEPBI_RS00455,LEPBI_RS00455
178,NC_010602.1,Protein Homology,CDS,89816,91372,+,cds-WP_012476060.1,WP_012476060.1
179,NC_010602.1,RefSeq,gene,91365,92564,-,gene-LEPBI_RS00460,rlmD
180,NC_010602.1,Protein Homology,CDS,91365,92564,-,cds-WP_012387128.1,WP_012387128.1
181,NC_010602.1,RefSeq,gene,92561,93634,-,gene-LEPBI_RS00465,LEPBI_RS00465
182,NC_010602.1,Protein Homology,CDS,92561,93634,-,cds-WP_012387129.1,WP_012387129.1
183,NC_010602.1,RefSeq,gene,93735,95351,+,gene-LEPBI_RS00470,LEPBI_RS00470
184,NC_010602.1,Protein Homology,CDS,93735,95351,+,cds-WP_012476061.1,WP_012476061.1
185,NC_010602.1,RefSeq,gene,95348,96277,+,gene-LEPBI_RS00475,LEPBI_RS00475
186,NC_010602.1,Protein Homology,CDS,95348,96277,+,cds-WP_012387131.1,WP_012387131.1
187,NC_010602.1,RefSeq,gene,96280,96921,-,gene-LEPBI_RS00480,LEPBI_RS00480
188,NC_010602.1,Protein Homology,CDS,96280,96921,-,cds-WP_012387132.1,WP_012387132.1
189,NC_010602.1,RefSeq,gene,96911,97624,-,gene-LEPBI_RS00485,LEPBI_RS00485
190,NC_010602.1,Protein Homology,CDS,96911,97624,-,cds-WP_012387133.1,WP_012387133.1
191,NC_010602.1,RefSeq,gene,97621,98793,-,gene-LEPBI_RS00490,LEPBI_RS00490
192,NC_010602.1,Protein Homology,CDS,97621,98793,-,cds-WP_012387134.1,WP_012387134.1
193,NC_010602.1,RefSeq,gene,98787,100142,-,gene-LEPBI_RS00495,LEPBI_RS00495
194,NC_010602.1,Protein Homology,CDS,98787,100142,-,cds-WP_012387135.1,WP_012387135.1
195,NC_010602.1,RefSeq,gene,100267,101466,+,gene-LEPBI_RS00500,LEPBI_RS00500
196,NC_010602.1,Protein Homology,CDS,100267,101466,+,cds-WP_226992952.1,WP_226992952.1
197,NC_010602.1,RefSeq,gene,101487,102044,-,gene-LEPBI_RS00505,LEPBI_RS00505
198,NC_010602.1,Protein Homology,CDS,101487,102044,-,cds-WP_226992834.1,WP_226992834.1
199,NC_010602.1,RefSeq,gene,102235,102801,+,gene-LEPBI_RS00510,LEPBI_RS00510
200,NC_010602.1,Protein Homology,CDS,102235,102801,+,cds-WP_226992835.1,WP_226992835.1
201,NC_010602.1,RefSeq,gene,102794,104335,+,gene-LEPBI_RS00515,LEPBI_RS00515
202,NC_010602.1,Protein Homology,CDS,102794,104335,+,cds-WP_012387139.1,WP_012387139.1
203,NC_010602.1,RefSeq,gene,104337,105215,+,gene-LEPBI_RS00520,LEPBI_RS00520
204,NC_010602.1,Protein Homology,CDS,104337,105215,+,cds-WP_012387140.1,WP_012387140.1
205,NC_010602.1,RefSeq,gene,105216,106343,+,gene-LEPBI_RS00525,LEPBI_RS00525
206,NC_010602.1,Protein Homology,CDS,105216,106343,+,cds-WP_012387141.1,WP_012387141.1
207,NC_010602.1,RefSeq,gene,106345,107313,+,gene-LEPBI_RS00530,LEPBI_RS00530
208,NC_010602.1,Protein Homology,CDS,106345,107313,+,cds-WP_012387142.1,WP_012387142.1
209,NC_010602.1,RefSeq,gene,107324,108154,+,gene-LEPBI_RS00535,LEPBI_RS00535
210,NC_010602.1,Protein Homology,CDS,107324,108154,+,cds-WP_012387143.1,WP_012387143.1
211,NC_010602.1,RefSeq,gene,108163,110088,+,gene-LEPBI_RS00540,LEPBI_RS00540
212,NC_010602.1,Protein Homology,CDS,108163,110088,+,cds-WP_012387144.1,WP_012387144.1
213,NC_010602.1,RefSeq,gene,110100,110885,+,gene-LEPBI_RS00545,LEPBI_RS00545
214,NC_010602.1,Protein Homology,CDS,110100,110885,+,cds-WP_012387145.1,WP_012387145.1
215,NC_010602.1,RefSeq,gene,110888,112450,+,gene-LEPBI_RS00550,LEPBI_RS00550
216,NC_010602.1,Protein Homology,CDS,110888,112450,+,cds-WP_012387146.1,WP_012387146.1
217,NC_010602.1,RefSeq,gene,112479,113708,+,gene-LEPBI_RS00555,LEPBI_RS00555
218,NC_010602.1,Protein Homology,CDS,112479,113708,+,cds-WP_012387147.1,WP_012387147.1
219,NC_010602.1,RefSeq,gene,113710,114909,-,gene-LEPBI_RS00560,LEPBI_RS00560
220,NC_010602.1,Protein Homology,CDS,113710,114909,-,cds-WP_012476063.1,WP_012476063.1
221,NC_010602.1,RefSeq,gene,114906,116699,-,gene-LEPBI_RS00565,LEPBI_RS00565
222,NC_010602.1,Protein Homology,CDS,114906,116699,-,cds-WP_012476064.1,WP_012476064.1
223,NC_010602.1,RefSeq,gene,116686,117651,-,gene-LEPBI_RS00570,LEPBI_RS00570
224,NC_010602.1,Protein Homology,CDS,116686,117651,-,cds-WP_012387150.1,WP_012387150.1
225,NC_010602.1,RefSeq,gene,117653,118546,-,gene-LEPBI_RS00575,LEPBI_RS00575
226,NC_010602.1,Protein Homology,CDS,117653,118546,-,cds-WP_012387151.1,WP_012387151.1
227,NC_010602.1,RefSeq,gene,118904,119323,-,gene-LEPBI_RS00580,LEPBI_RS00580
228,NC_010602.1,Protein Homology,CDS,118904,119323,-,cds-WP_012387152.1,WP_012387152.1
229,NC_010602.1,RefSeq,gene,119511,121076,+,gene-LEPBI_RS00585,LEPBI_RS00585
230,NC_010602.1,Protein Homology,CDS,119511,121076,+,cds-WP_012387153.1,WP_012387153.1
231,NC_010602.1,RefSeq,gene,121078,121941,-,gene-LEPBI_RS00590,LEPBI_RS00590
232,NC_010602.1,Protein Homology,CDS,121078,121941,-,cds-WP_041769551.1,WP_041769551.1
233,NC_010602.1,RefSeq,gene,121989,122585,-,gene-LEPBI_RS00595,LEPBI_RS00595
234,NC_010602.1,Protein Homology,CDS,121989,122585,-,cds-WP_012387155.1,WP_012387155.1
235,NC_010602.1,RefSeq,gene,122710,123288,+,gene-LEPBI_RS00600,LEPBI_RS00600
236,NC_010602.1,Protein Homology,CDS,122710,123288,+,cds-WP_041769553.1,WP_041769553.1
237,NC_010602.1,RefSeq,gene,123425,123988,-,gene-LEPBI_RS00605,LEPBI_RS00605
238,NC_010602.1,Protein Homology,CDS,123425,123988,-,cds-WP_012387157.1,WP_012387157.1
239,NC_010602.1,RefSeq,gene,124037,124474,-,gene-LEPBI_RS00610,LEPBI_RS00610
240,NC_010602.1,Protein Homology,CDS,124037,124474,-,cds-WP_012387158.1,WP_012387158.1
241,NC_010602.1,RefSeq,gene,124601,125077,+,gene-LEPBI_RS00615,LEPBI_RS00615
242,NC_010602.1,Protein Homology,CDS,124601,125077,+,cds-WP_012476066.1,WP_012476066.1
243,NC_010602.1,RefSeq,gene,125446,126105,+,gene-LEPBI_RS00625,LEPBI_RS00625
244,NC_010602.1,Protein Homology,CDS,125446,126105,+,cds-WP_012387161.1,WP_012387161.1
245,NC_010602.1,RefSeq,gene,126179,126499,+,gene-LEPBI_RS00630,LEPBI_RS00630
246,NC_010602.1,GeneMarkS-2+,CDS,126179,126499,+,cds-WP_012387162.1,WP_012387162.1
247,NC_010602.1,RefSeq,gene,126550,127305,-,gene-LEPBI_RS00635,LEPBI_RS00635
248,NC_010602.1,Protein Homology,CDS,126550,127305,-,cds-WP_012387163.1,WP_012387163.1
249,NC_010602.1,RefSeq,gene,127573,128460,+,gene-LEPBI_RS00640,LEPBI_RS00640
250,NC_010602.1,Protein Homology,CDS,127573,128460,+,cds-WP_012387164.1,WP_012387164.1
251,NC_010602.1,RefSeq,gene,128612,130006,+,gene-LEPBI_RS00645,LEPBI_RS00645
252,NC_010602.1,Protein Homology,CDS,128612,130006,+,cds-WP_012387165.1,WP_012387165.1
253,NC_010602.1,RefSeq,gene,130010,130534,+,gene-LEPBI_RS00650,LEPBI_RS00650
254,NC_010602.1,Protein Homology,CDS,130010,130534,+,cds-WP_012387166.1,WP_012387166.1
255,NC_010602.1,RefSeq,gene,130774,131202,-,gene-LEPBI_RS00655,LEPBI_RS00655
256,NC_010602.1,Protein Homology,CDS,130774,131202,-,cds-WP_012387167.1,WP_012387167.1
257,NC_010602.1,RefSeq,gene,131384,131773,+,gene-LEPBI_RS00660,LEPBI_RS00660
258,NC_010602.1,Protein Homology,CDS,131384,131773,+,cds-WP_012387168.1,WP_012387168.1
259,NC_010602.1,RefSeq,gene,131787,132164,-,gene-LEPBI_RS00665,LEPBI_RS00665
260,NC_010602.1,Protein Homology,CDS,131787,132164,-,cds-WP_012387169.1,WP_012387169.1
261,NC_010602.1,RefSeq,gene,132664,133015,-,gene-LEPBI_RS18790,ssrA
262,NC_010602.1,cmsearch,tmRNA,132664,133015,-,rna-LEPBI_RS18790,
263,NC_010602.1,cmsearch,exon,132664,133015,-,exon-LEPBI_RS18790-1,
264,NC_010602.1,RefSeq,gene,133112,134260,+,gene-LEPBI_RS00670,LEPBI_RS00670
265,NC_010602.1,Protein Homology,CDS,133112,134260,+,cds-WP_012476068.1,WP_012476068.1
266,NC_010602.1,RefSeq,gene,134352,135005,+,gene-LEPBI_RS00675,LEPBI_RS00675
267,NC_010602.1,Protein Homology,CDS,134352,135005,+,cds-WP_012387171.1,WP_012387171.1
268,NC_010602.1,RefSeq,gene,135002,135730,+,gene-LEPBI_RS00680,LEPBI_RS00680
269,NC_010602.1,Protein Homology,CDS,135002,135730,+,cds-WP_012387172.1,WP_012387172.1
270,NC_010602.1,RefSeq,gene,135801,136412,+,gene-LEPBI_RS00685,LEPBI_RS00685
271,NC_010602.1,Protein Homology,CDS,135801,136412,+,cds-WP_012387173.1,WP_012387173.1
272,NC_010602.1,RefSeq,gene,136645,136968,+,gene-LEPBI_RS00690,LEPBI_RS00690
273,NC_010602.1,Protein Homology,CDS,136645,136968,+,cds-WP_226992836.1,WP_226992836.1
274,NC_010602.1,RefSeq,gene,136965,138308,-,gene-LEPBI_RS00695,LEPBI_RS00695
275,NC_010602.1,Protein Homology,CDS,136965,138308,-,cds-WP_012387175.1,WP_012387175.1
